Name,Location,Image
Egyptian Museum,Egypt,https://upload.wikimedia.org/wikipedia/commons/7/71/The_Egyptian_Museum.jpg
Gorges Du Verdon,France,https://finduslost.com/wp-content/uploads/2019/07/Gorges-du-Verdon-France-Find-Us-Lost-1960.jpg
Amber Fort,India,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/800px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg
Snowdonia,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Llyn_Llydaw_from_Crib_Goch_2.jpg/1200px-Llyn_Llydaw_from_Crib_Goch_2.jpg
Volcanoes National Park,Rwanda,https://upload.wikimedia.org/wikipedia/commons/4/48/Volcanoes_National_Park_Banner_Image.gif
Xochimilco,Mexico,https://www.fodors.com/wp-content/uploads/2022/06/Hero-Xolximico-roberto-carlos-roman-don-_N6BAsuUqBc-unsplash.jpg
Glencoe,Scotland,https://kittiaroundtheworld.com/wp-content/uploads/2021/09/Glencoe.jpg
Mont Blanc,France and Italy,https://upload.wikimedia.org/wikipedia/commons/9/93/Mont_Blanc_from_air_2019_2.jpg
Karnak Temple Luxor,Egypt,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/3b/ee.jpg
Gardens by the Bay,Singapore,https://www.marinabaysands.com/content/dam/marinabaysands/guides/around-mbs/gardens-by-the-bay/masthead.jpg
iSimangaliso Wetland Park,South Africa,https://www.isibindi.co.za/wp-content/uploads/sites/9/2018/01/Kosi-Forest-Mouth-Resized.jpg
York Minster,England,https://upload.wikimedia.org/wikipedia/commons/6/6f/York_Minster_from_M%26S.JPG
Van Gogh Museum,Netherlands,https://upload.wikimedia.org/wikipedia/commons/6/6f/York_Minster_from_M%26S.JPG
Sigiriya,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/4/4c/Beauty_of_Sigiriya_by_Binuka.jpg
Madurai Meenakshi Amman Temple,India,https://assets.traveltriangle.com/blog/wp-content/uploads/2018/05/essential-info.jpg
Old Tbilisi,Georgia,https://live.staticflickr.com/65535/48937259518_958fd3884f_b.jpg
Changdeokgung Palace Complex,South Korea,https://thereshegoesagain.org/wp-content/uploads/2017/11/changdeokgung-palace-secret-garden-7-1440x1040.jpg
DMZ,South Korea,http://cdn.cnn.com/cnnnext/dam/assets/190225145025-dmz-korean-things-to-do-vision-00002109.jpg
Boudhanath Stupa Kathmandu,Nepal,https://img.atlasobscura.com/LUDDZVJIG09wMSZsWcxdGQek7Xd7P8cfMOeYolV0aow/rs:fill:580:580:1/g:ce/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3BsYWNl/X2ltYWdlcy81NzI4/MmM1ZTg1MzdlNmFl/NDNfODk3NDkzODU5/Ml8yOGJlMjJjMTI5/X2suanBn.jpg
Rynek Glowny Krakow,Poland,https://upload.wikimedia.org/wikipedia/commons/1/18/Sukiennice_and_Main_Market_Square_Krakow_Poland.JPG
Mogao Caves,China,https://cdn.britannica.com/65/104865-050-30A37ACB/Entrance-Dunhuang-Mogao-Caves-Gansu-China-province.jpg
Vat Phou and Associated Ancient Settlements Within the Champasak Cultu,Laos,https://upload.wikimedia.org/wikipedia/commons/1/1e/Champasak%2C_Laos%2C_Wat_Poo_03.jpg
Goree Island,Senegal,https://johnryle.com/wp-content/uploads/2016/09/Goree-island.jpg
Mont St Michel,France,https://en.normandie-tourisme.fr/wp-content/uploads/sites/3/2020/01/8118-Mont-Saint-Michel-couleur-dautomne-%C2%A9-DaLiu-Shutterstock.com-%C2%A9-DaLiu-Shutterstock.com_.jpg
Blue Mountains,Australia,https://static1.evcdn.net/images/reduction/1254050_w-850_h-400_q-100_m-crop.jpg
Island of Mozambique,Mozambique,https://cdn.britannica.com/13/177913-050-0802B78D/dhow-sailing-coast-Island-of-Mozambique.jpg?w=300&h=169&c=crop
Grand Erg Occidental Desert,Algeria,http://tunisiatv.com/wp-content/uploads/2017/07/The-Grand-Erg-Oriental.jpg
San Gimignano,Italy,https://lp-cms-production.imgix.net/2019-06/556632955_master.jpg
Vasamuseet / the Vasa Museum,Sweden,https://www.swedishnomad.com/wp-content/images/2019/11/Vasamuseet.jpg
Portmeirion,Wales,https://loveincorporated.blob.core.windows.net/contentimages/main/e9beb8ff-1b2a-44a4-9941-2f935977a385-things-to-do-in-portmeirion-wales.jpg
Times Square,USA,https://www.jamestownlp.com/uploads/images/_2250x1266_crop_center_75_none/one-times-square-20231231.jpg
Bacuit Archipelago,the Philippines,https://www.thegoldenscope.com/wp-content/uploads/2015/07/b-philippines_el_nido_900.jpg
Robben Island,South Africa,https://www.tripsavvy.com/thmb/b3LU9UFeAfAm326L4f3l9W5i2Hg=/1885x1414/smart/filters:no_upscale()/GettyImages-10174655-57f76dd93df78c690f27bfec.jpg
Borgarfjörður Eystri,Iceland,"https://res.cloudinary.com/itb-database/image/upload/s--s94OKEBT--/c_fill,dpr_auto,f_auto,q_auto:eco,w_1280/v1/Municipalities/6f3426060ce9f6bb278348435e2c2645"
Sossusvlei,Namibia,https://upload.wikimedia.org/wikipedia/commons/2/22/Sossusvlei.jpg
Wieliczka Salt Mine,Poland,https://i.insider.com/5ed0e169f34d0562ea37fa62?width=700
Parque Nacional Nahuel Huapi,Argentina,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/89/8e.jpg
Jellyfish Lake Eil Malk,Palau,https://www.westend61.de/images/0001306240pw/palau-eil-malk-island-man-swimming-with-jellyfish-in-jellyfish-lake-GNF01535.jpg
Vigelandspark,Norway,https://tellusdmsmedia.newmindmedia.com/wsimgs/Vigelandsparken_fra-Monolitten-2__c_VisitOSLO_Thomas-Johannessen_893575636.jpg[ProductImage][4C1D740DBADE28D14888EA6C4D12EC40]
Summer Palace and Imperial Garden,China,https://amazingchinatrip.com/images/Beijing_summer-palace.jpg
Old Quebec/Vieux Québec,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Ch%C3%A2teau_Frontenac%2C_Quebec_city%2C_Canada.jpg/1200px-Ch%C3%A2teau_Frontenac%2C_Quebec_city%2C_Canada.jpg
Canterbury Cathedral,England,https://www.worldatlas.com/r/w1200/upload/05/3a/39/untitled-design-470.jpg
Carthage,Tunisia,https://www.planetware.com/photos-large/TUN/tunisia-tunis-carthage-ruins2.jpg
Reichstag Building,Germany,https://cdn.britannica.com/45/101845-004-AB9DCB0D/Reichstag-Norman-Foster-renovations-Berlin.jpg
Group of Monuments at Hampi,India,https://media-cdn.tripadvisor.com/media/photo-s/1a/62/10/c4/caption.jpg
Malecon De Riohacha,Colombia,https://media-cdn.tripadvisor.com/media/photo-s/09/dd/59/93/camellon-de-riohacha.jpg
Brú Na Bóinne Neolithic Site,Ireland,https://www.discoveringireland.com/contentFiles/productImages/Medium/newgrangebrubainne.jpg
Museo Del Prado,Spain,https://cdn-imgix.headout.com/tour/14488/TOUR-IMAGE/302311a1-f1af-4ffb-a22a-0dd09c267896-7920-madrid-prado-a-royal-collection-03.jpg
Lago Atitlan,Guatemala,https://www.atastefortravel.ca/wp-content/uploads/2020/09/Lake-Atitlan-DP-1200x618.jpg
Gunung Leuser National Park,Indonesia,https://indonesiaexpat.biz/wp-content/uploads/2019/07/DSC_9699-e1563261669594.jpg
Alcatraz,USA,https://www.gannett-cdn.com/-mm-/1abbac059a7e6f21ff3aa7e38760a41a48819119/c=0-217-2118-1414/local/-/media/2018/08/17/USATODAY/USATODAY/636701422865855661-GettyImages-632216604.jpg
Piazza Del Campo,Italy,https://upload.wikimedia.org/wikipedia/commons/0/0a/Siena5.jpg
Postojna Cave,Slovenia,https://hub.wtm.com/wp-content/uploads/2019/09/cropped-shutterstock_580475509-1.jpg
Rila Monastery,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/4/46/Rila_Monastery%2C_August_2013.jpg
The Bund,China,https://rachelgouk.com/wp-content/uploads/2020/02/shanghai-city-the-bund-restaurants.jpg
Rijksmuseum,Netherlands,https://cdn.getyourguide.com/img/tour/5db0759f4ad16.jpeg/99.jpg
Pont Du Gard,France,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Pont_du_Gard_BLS.jpg/1200px-Pont_du_Gard_BLS.jpg
Alcazar Seville,Spain,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/71/aa/c5.jpg
Singapore Zoo,Singapore,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1295,h_864/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/b2vdzehcsk2t6n6mziv0/SingaporeZooTickets.jpg"
Wadi Rum Protected Area,Jordan,https://media.odynovotours.com/article/15000/wadi-rum-jordan6_14347.jpg
Temple of Luxor,Egypt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Luxor-Tempel_Pylon_08.jpg/1200px-Luxor-Tempel_Pylon_08.jpg
Natural History Museum D.C.,USA,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/nmnh1807141026resizedcrop.jpg.webp?itok=cih_ep7S
Old Delhi,India,https://www.transindus.co.uk/media/14758/old-delhi-blog-12-feb-5.jpg?width=619&height=427
Cinque Terre,Italy,https://lp-cms-production.imgix.net/2021-08/GettyRF_595500583.jpg?auto=format&q=75&w=1920
Borobudur,Indonesia,https://lp-cms-production.imgix.net/2019-06/f4024c571e5e09ce5e4049bc181500b1-borobudur-temple.jpg?sharp=10&vib=20&w=1200&auto=compress&fit=crop&fm=auto&h=800
Bosque Nuboso Monteverde,Costa Rica,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_65sd3nIPNTHkoklmyURzmXJ6pzvuH_xovhTSpvQPtjd0JPDZo7KE0qdtJ0bwYq5cnR0&usqp=CAU
Parque Nacional Manuel Antonio,Costa Rica,https://d2xuzatlfjyc9k.cloudfront.net/wp-content/uploads/2014/05/Things-to-Do-from-Manuel-Antonio-National-Park-Quepos.jpg
Duomo Milan,Italy,https://duomo.shbcdn.com/blobs/variants/a/c/8/e/ac8e3797-d691-420b-9b49-0d851f3ca9c3_xl.jpg?_636840242257777638
Burj Khalifa,UAE,https://s3.amazonaws.com/images.skyscrapercenter.com/thumbs/5190_500x650.jpg
Djenne,Mali,https://upload.wikimedia.org/wikipedia/commons/0/02/Moschee_von_Djenn%C3%A9.jpg
Naoshima,Japan,http://cdn.cnn.com/cnnnext/dam/assets/140515121635-naoshima-teshima.jpg
Tajik National Park (Mountains of the Pamirs),Tajikistan,https://www.naturalworldheritagesites.org/wp-content/uploads/2021/04/Tajik-National-Park-Mountains-of-the-Pamirs.jpg
Silfra Þingvellir,Iceland,https://guidetoiceland.imgix.net/337745/x/0/thingvellir-silfra-jpg?ixlib=php-3.3.0
El Nido,Palawan,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiLyy9wThqb6q5PkbtDPaYh-L-sSHuGzaYwHeCCZl6NDO28SMmw9PtFfR6LeFvIXm2JrIsZ5Z_vwiJDJSFWznKftqQi0DJCy7-vrzbL4yF6T34jxE74GdDiHE9X_Te7ZP8bBBahp3B9xMoEBKXxZjwU0zSu4UI42UnhEniX0bPaow65I6MAOuoNp1noOg/s1000/Big%20Lagoon-12.jpg
Chocolate Hills,Bohol,https://www.travelandleisure.com/thmb/LrRPOL02yLrcupBNPKARdCwyANU=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chocolate-hills-PHIL0116-3a853dd3c6704d84bb5162bb37404279.jpg
Underground River,Puerto Princesa Palawan,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/44/7a.jpg
Boracay Island,Aklan,https://upload.wikimedia.org/wikipedia/commons/c/cd/Boracay_White_Beach.png
Taal Volcano,Batangas,https://philjets.com/wp-content/uploads/2018/07/aerial-tour-taal.jpg
Mayon Volcano,Albay,https://upload.wikimedia.org/wikipedia/commons/e/e1/Mayon_Volcano_as_of_March_2020.jpg
Vigan Heritage City,Ilocos Sur,https://miro.medium.com/v2/resize:fit:828/format:webp/1*w5RcpbSYj0YtKhx714gB8g.jpeg
Banaue Rice Terraces,Ifugao,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Banaue-terrace.JPG/1280px-Banaue-terrace.JPG
Siargao Island,Surigao del Norte,https://www.vacationhive.com/images/hives/8/8-siargao-island-banner-2022.jpg
Coron,Palawan,https://upload.wikimedia.org/wikipedia/commons/1/16/Straight_out_of_a_dream.jpg
		
