Name,Location,Image
Lake Baikal,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Lake_Baikal_in_winter.jpg/270px-Lake_Baikal_in_winter.jpg
Eiffel Tower,France,"https://www.tripsavvy.com/thmb/gk7NEmDJuF1Uwg_9BFbCNu5gsms=/2624x3936/filters:fill(auto,1)/TAM_3402-08aeec8bf338425791ce0825cb205e9a.jpg"
Pompeii,Italy,https://cdn.britannica.com/91/189391-050-EFC45253/Mount-Vesuvius-ruins-Pompeii.jpg
Havana,Cuba,https://cdn.theculturetrip.com/wp-content/uploads/2021/10/havana-650x366.jpg
Table Mountain,South Africa,https://cdn.britannica.com/41/75841-050-FAAE44F0/Table-Mountain-Cape-Town-Western-Bay-South.jpg
Old Town Square Prague,Czech Republic,https://www.barcelo.com/guia-turismo/wp-content/uploads/2020/04/plaza-ciudad-vieja-1.jpg
Serengeti National Park,Tanzania,https://img.traveltriangle.com/blog/wp-content/uploads/2018/08/shutterstock_90117172.jpg
Hermitage Museum,Russia,https://media-exp1.licdn.com/dms/image/C561BAQEw7KL3JnRJ9Q/company-background_10000/0/1543513814252?e=2147483647&v=beta&t=eOY29-6UfaZeOmLJuWpszaBSJLhzS8DTc-MRCsOAblI
Bay of Kotor,Montenegro,https://www.chasingthedonkey.com/wp-content/uploads/2019/01/Port-In-Kotor-Montenegro_shutterstock_1049738972.jpg
Jaisalmer Rajasthan,India,https://www.tourmyindia.com/blog//wp-content/uploads/2021/04/Best-Places-to-Visit-in-Jaisalmer.jpg
Ngorongoro Crater Conservation Area,Tanzania,https://www.andbeyond.com/wp-content/uploads/sites/5/ngorongoro-crater-floor-teaming-with-game.jpg
Hiroshima,Japan,https://www.planetware.com/photos-large/JPN/japan-hiroshima-itsukushima.jpg
Pantheon,Italy,https://www.historyhit.com/app/uploads/fly-images/5158810/Pantheon-788x537.jpg?x95007
Tate Modern,England,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/fa/3f/c4.jpg
Naqsh-e Jahan Square,Iran,https://cdn.elebase.io/173fe953-8a63-4a8a-8ca3-1bacb56d78a5/cd552f65-6959-4587-ac4f-f619e7809c16-shutterstock_1013257108.jpg?w=1000&h=500&fit=crop&q=75
Tiger Leaping Gorge,China,https://www.chinadiscovery.com/assets/images/travel-guide/lijiang/tiger-leaping-gorge/tiger-leaping-gorge-768.jpg
Notre Dame,France,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Notredame_Paris.JPG/800px-Notredame_Paris.JPG
Kakadu National Park,Australia,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/6f/39/50.jpg
Sydney Opera House,Australia,https://cdn.britannica.com/96/100196-050-C92064E0/Sydney-Opera-House-Port-Jackson.jpg
Edinburgh Castle,Scotland,https://a.cdn-hotels.com/gdcs/production20/d511/27bf26bb-e498-4caf-a5b7-cdb379680e4c.jpg
Anne Frank House,Netherlands,"https://media.cntraveler.com/photos/62747cda2557371c9642605c/16:9/w_2560,c_limit/Anne%20Frank%20House%20Amsterdam_GettyImages-1040678782.jpg"
Jökulsarlon,Iceland,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/df/2b/58.jpg
Yellowstone National Park,USA,https://www.planetware.com/photos-large/USWY/usa-wyoming-yellowstone-grand-prismatic-spring.jpg
Stonehenge,England,https://th-thumbnailer.cdn-si-edu.com/jX4QlMKYrdCGL5LH5t8qn-C38ME=/fit-in/1600x0/filters:focal(2449x1609:2450x1610)/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer/b9/a3/b9a38fcd-9f70-47c0-ab1b-2048babbbd0e/gettyimages-168275847.jpg
Berlin Wall,Germany, http://cdn.cnn.com/cnnnext/dam/assets/131107164011-berlin-wall-location-wilshire-blvd-ii.jpg
Isle of Skye,Scotland,https://57hours.com/wp-content/uploads/2020/08/iStock-1160979608-1776x1183.jpg
Halong Bay,Vietnam,https://media.worldnomads.com/explore/vietnam/halong-bay-vietnam-from-above-gettyimages.jpg
Santa Maria Del Fiore (Duomo Di Firenze / Florence Cathedral),Italy,https://upload.wikimedia.org/wikipedia/commons/7/77/Florence_Duomo_from_Michelangelo_hill.jpg
Cappadocia,Turkey,https://throughkelseyslens.com/wp-content/uploads/2020/02/Hot-Air-Balloons-4-819x1024.jpg
Koh Tao,Thailand,https://static.independent.co.uk/s3fs-public/thumbnails/image/2017/07/05/09/koh-tao.jpg?quality=75&width=982&height=726&auto=webp
Palenque,Mexico,https://lp-cms-production.imgix.net/2019-06/f3caa44ca6f937a3c0fb579dde358392-palenque-ruins.jpg
